                      row                column                       cor
99                X20_LOS               Factor4 -0.1762179510844448515616
100           X21_PropFTE               Factor4  0.0194957224454756390675
101            X22_MedInc               Factor4  0.0718255456031869493616
102          X23_MeanSize               Factor4 -0.0713749748500626113312
103               Factor1               Factor4  0.0000000000000002219625
104               Factor2               Factor4 -0.0000000000000020608104
105               Factor3               Factor4  0.0000000000000017504078
                         p
1   0.00061513905052446027
2   0.00000128272350519154
3   0.00000000000000000000
4   0.00000000000000000000
5   0.00002331865879101613
6   0.00000000044988568426
7   0.15112671040888070451
8   0.78950744189372823456
9   0.39253222498805007135
10  0.00008133227468665183
11  0.00064109151210467452
12  0.00014960323461177261
13  0.00467651270808744357
14  0.00007600289892684131
15  0.00207119315598025544
16  0.00018210883449887305
17  0.00865870681007585574
18  0.24148403449398503362
