OBJECTID,Sample_buffer_ID,Alt_ID,Sample_ID,Radius,OBJECTID,Set_Sample_ID,Type,Shape_Length (sqkm),Shape_Area (sqkm),Train,Tram,Bus,Patronage_Train,Patronage_Tram,Updated_Patronage_Bus,SS_Patronage_Bus,1_Emp,2_EmpDen,3_Pop,4_PopDen,5_Dwelling,6_ActDen,7_PropComm,8_RetailEmp,9_Balance,10_Entropy,11_HousingDiv,12_Intersections,13_PBN,14_DestScore,15_DestCount,16_DistCBD,17_ACCount,18_ACNear,19_FTZ,20_LOS,21_PropFTE,22_MedInc,23_MeanSize,24_Urban,25_Rural,26_Access,27_IntDensity
1036,41-400,41-400-D,41,400,1036,D,Trainbus,3.217231091,0.532031267,1,0,7,6184.30223,0,3247,2251.132047,235.4983014,442.6399649,1464.30232,2752.286211,1024.316093,3194.926176,0.326890672,112.8014365,0.957320422,0.155072091,7,100,72.22499857,8,38,14531.30729,1,206.9227573,0,519.5384615,0.567176187,500,2.686950082,0.889544331,0,27819.8112,187.958878
1037,41-600,41-600-D,41,600,1037,D,Trainbus,4.370885448,1.07455512,1,0,7,6184.30223,0,3247,2251.132047,475.0735127,442.1118133,3093.925536,2879.261825,1069.814434,3321.373638,0.217306841,111.9628827,0.919781699,0.147531787,7,162,72.22499857,8,63,14531.30729,1,206.9227573,0,519.5384615,0.565129756,500,2.691365655,0.868239962,0,27819.8112,150.7600652
1038,41-800,41-800-D,41,800,1038,D,Trainbus,6.043133871,1.788233904,1,0,7,6184.30223,0,3247,2251.132047,793.1214839,443.5222272,5489.422548,3069.745258,1133.507271,3513.267485,0.173646527,113.3547107,0.876114387,0.128171945,7,247,72.22499857,8,82,14531.30729,1,206.9227573,0,519.5384615,0.561295972,300,2.70818312,0.878780134,0,27819.8112,138.1251074
2006,41-800,41-800-C,41,800,2006,C,Trainbus,5.325781501,1.395152055,1,0,7,6184.30223,0,3247,2251.132047,620.3546611,444.650215,4078.336287,2923.219927,1093.745112,3367.870142,0.210750767,115.6796522,0.895357487,0.139168172,7,247,72.22499857,8,72,14531.30729,1,206.9227573,0,519.5384615,0.564444444,300,2.672670162,0.864076788,0,27819.8112,177.0416344
2776,41-600,41-600-C,41,600,2776,C,Trainbus,3.610336122,0.782401926,1,0,7,6184.30223,0,3247,2251.132047,348.2564926,445.1120082,2124.711006,2715.625991,1031.596774,3160.737999,0.285317545,116.726345,0.934928073,0.164117495,7,162,72.22499857,8,52,14531.30729,1,206.9227573,0,519.5384615,0.570096182,300,2.632449093,0.835801241,0,27819.8112,207.054705
3184,41-400,41-400-C,41,400,3184,C,Trainbus,2.468061902,0.356729069,1,0,7,6184.30223,0,3247,2251.132047,159.7862809,447.9205505,907.5664712,2544.133771,969.3015571,2992.054322,0.457493074,121.185516,0.966583447,0.159029497,7,100,72.22499857,7,30,14531.30729,1,206.9227573,0,519.5384615,0.572013652,500,2.624708227,0.870159057,0,27819.8112,280.3247862
1468,54-400,54-400-D,54,400,1468,D,Trainbus,3.006112554,0.474965157,1,0,5,6263.451323,0,1372.1,1951.86789,115.8682243,243.9509982,185.6733916,390.9200258,113.7666217,634.871024,0.171028689,69.04743783,0.845202009,0.143668217,4,33,50.67602798,1,10,19963.86313,1,327.1103284,0,220.8461538,0.58783008,650,3.43615746,0.679588667,0,3114.862303,69.47878074
1469,54-600,54-600-D,54,600,1469,D,Trainbus,4.438818514,0.943187575,1,0,5,6263.451323,0,1372.1,1951.86789,238.9774436,253.3721288,327.1904628,346.8986144,100.7842872,600.2707432,0.193225231,72.99560333,0.668796073,0.170442029,4,56,50.67602798,3,14,19963.86313,1,327.1103284,0,220.8461538,0.589692765,650,3.441991048,0.605553594,0,3114.862303,59.37313159
1470,54-800,54-800-D,54,800,1470,D,Trainbus,5.799606839,1.603184106,1,0,5,6263.451323,0,1372.1,1951.86789,413.3169152,257.8100129,655.1465853,408.6533684,119.4152759,666.4633813,0.176451497,74.90697623,0.545754122,0.187460449,4,95,50.67602798,3,18,19963.86313,1,327.1103284,0,220.8461538,0.623794212,650,3.422119703,0.600613185,0,3114.862303,59.2570745
2045,54-800,54-800-C,54,800,2045,C,Trainbus,5.506626287,1.44341042,1,0,5,6263.451323,0,1372.1,1951.86789,370.5185966,256.6966342,532.4331906,368.8716551,107.5776154,625.5682893,0.181691994,74.433325,0.548873836,0.181191445,4,95,50.67602798,3,17,19963.86313,1,327.1103284,0,220.8461538,0.623794212,650,3.428888561,0.600504595,0,3114.862303,65.81634626
2741,54-600,54-600-C,54,600,2741,C,Trainbus,3.983521176,0.802903252,1,0,5,6263.451323,0,1372.1,1951.86789,201.3310444,250.7538036,288.6772922,359.5418144,104.520101,610.295618,0.196440286,71.89830218,0.723308687,0.162451771,4,56,50.67602798,3,13,19963.86313,1,327.1103284,0,220.8461538,0.58783008,650,3.439929842,0.628219559,0,3114.862303,69.74688402
3169,54-400,54-400-C,54,400,3169,C,Trainbus,2.580027999,0.382239757,1,0,5,6263.451323,0,1372.1,1951.86789,91.67420495,239.8343008,158.7205604,415.2382304,121.0290208,655.0725312,0.135481218,67.32224396,0.883288421,0.137719865,4,33,50.67602798,1,10,19963.86313,1,327.1103284,0,220.8461538,0.58783008,650,3.430898041,0.729660052,0,3114.862303,86.33324869
1369,51-400,51-400-D,51,400,1369,D,Trainbus,3.020075407,0.484782938,1,0,11,5751.183506,0,2764.5,2362.264308,319.4314065,658.9163544,965.0555859,1990.696267,692.2207879,2649.612621,0.405029478,146.9062,0.93092086,0.139403828,5,94,52.29594733,8,36,18977.25677,1,199.479231,0,310.7692308,0.533948583,150,2.87581116,0.964249665,0,5896.845255,193.9012136
1370,51-600,51-600-D,51,600,1370,D,Trainbus,4.648890416,0.957780038,1,0,11,5751.183506,0,2764.5,2362.264308,590.4345789,616.4615624,2032.116195,2121.694036,729.1013529,2738.155599,0.258683495,134.3692335,0.885623241,0.137787581,6,150,52.29594733,8,45,18977.25677,1,199.479231,0,310.7692308,0.536595745,150,2.91001248,0.940853789,0,5896.845255,156.6121594
1371,51-800,51-800-D,51,800,1371,D,Trainbus,5.734235213,1.563580806,1,0,11,5751.183506,0,2764.5,2362.264308,915.6986464,585.6420357,3538.712889,2263.21075,769.9011131,2848.852785,0.194033906,125.2681809,0.840698872,0.127654652,6,236,52.29594733,8,59,18977.25677,1,199.479231,0,310.7692308,0.537021277,150,2.939612258,0.916028349,0,5896.845255,150.9355955
2036,51-800,51-800-C,51,800,2036,C,Trainbus,5.310561414,1.293546143,1,0,11,5751.183506,0,2764.5,2362.264308,754.8160024,583.5246054,2870.603536,2219.173666,759.1195203,2802.698272,0.205249695,124.6429006,0.864534529,0.128022821,6,236,52.29594733,8,52,18977.25677,1,199.479231,0,310.7692308,0.538436796,150,2.92335213,0.938488799,0,5896.845255,182.4442068
2749,51-600,51-600-C,51,600,2749,C,Trainbus,3.857885297,0.742914291,1,0,11,5751.183506,0,2764.5,2362.264308,457.5495161,615.8846609,1558.157491,2097.35835,727.3411409,2713.243011,0.317514715,134.1988733,0.909243794,0.134335251,6,150,52.29594733,8,42,18977.25677,1,199.479231,0,310.7692308,0.541317992,150,2.883596476,0.962927665,0,5896.845255,201.9075441
3171,51-400,51-400-C,51,400,3171,C,Trainbus,2.450368803,0.330000535,1,0,11,5751.183506,0,2764.5,2362.264308,218.8698539,663.2409068,604.7239283,1832.493783,634.8075679,2495.73469,0.533703443,148.1832434,0.948016693,0.138617294,5,94,52.29594733,8,32,18977.25677,1,199.479231,0,310.7692308,0.52644041,150,2.886691772,0.96041048,0,5896.845255,284.848023
19,104-400,104-400-D,104,400,19,D,Trainbus,2.871631461,0.504717302,1,0,3,4617.168513,0,1681.6,3421.343687,653.7459907,1295.271606,1500.646969,2973.24257,1191.113029,4268.514176,0.400408417,161.0024114,0.946792853,0.137854453,6,80,82.60767144,1,6,2041.939121,0,2041.939121,0,78.61538462,0.671978752,800,2.496188438,0.854854178,0,499815.6611,158.5045721
20,104-600,104-600-D,104,600,20,D,Trainbus,3.956019899,0.967800189,1,0,3,4617.168513,0,1681.6,3421.343687,1273.361546,1315.72773,2718.4693,2808.915861,1132.293885,4124.643591,0.365122488,162.8523171,0.89374198,0.139504269,7,151,82.60767144,3,14,2041.939121,0,2041.939121,0,78.61538462,0.66008153,800,2.480730398,0.888822328,0,499815.6611,156.0239414
